atc,nameen,ddd,administration_route
C01CA08,oxedrine,0.2,O
B05XX03,"blood and organ extracts from calves, incl. combinations",,
D08AJ06,didecyldimethylammonium chloride,,
G03DC01,allylestrenol,10,O
N06AX14,tianeptine,37.5,O
M09AX08,sulfur,,
R02AA19,phenol,,
A07AC01,miconazole,1,O
S03AA06,gentamicin,,
L04AB04,adalimumab,2.9,P
G04BD63,"dicycloverin, combinations",,
B01AA11,tioclomarol,,
A12AA02,calcium glubionate,2.75,P
A02X,other drugs for acid related disorders,,
M01AC,oxicams,,
H02BX21,"desoxycorton, combinations",,
N06AX07,minaprine,0.1,O
C10BX08,atorvastatin and acetylsalicylic acid,,
G03GA01,chorionic gonadotrophin,250,P
V03AN02,carbon dioxide,,
A04AB58,"promethazine, combinations",,
N06BC02,propentofylline,,
C01CX10,ipratropium bromide,,
M05BA05,tiludronic acid,0.4,O
C01DX02,prenylamine,0.12,O
B05AX46,leukocytes without central pharmaceutical number,,
D08AX51,"hydrogen peroxide, combinations",,
V04CM20,mixes,,
S01AA01,chloramphenicol,,
J07AC,anthrax vaccines,,
J05AH,neuraminidase inhibitors,,
J01DH21,imipenem and cilastatin,2,P
V07AB10,various evaporation solutions,,
J01RA,combinations of antibacterials,,
N05AG02,pimozide,4,O
B03AA,"iron bivalent, oral preparations",,
S01XC07,carbomer,"0,4",TD
V90H,billable procurement costs,,
C05AA65,"clocortolone, combinations",,
A16AX10,eliglustat,0.168,O
G04C,drugs used in benign prostatic hypertrophy,,
N01AB07,desflurane,,
D01AC07,tioconazole,,
A10BD16,metformin and canagliflozin,,
J01AA08,minocycline,0.2,O
C01BC,"antiarrhythmics, class ic",,
C05AD51,"lidocaine, combinations",,
G04CA01,alfuzosin,7.5,O
L01CD01,paclitaxel,,
C01BA03,disopyramide,0.4,O
N06BX17,adrafinil,,
A03CB,belladonna and derivatives in combination with psycholeptics,,
P01CB01,meglumine antimonate,0.85,P
V04BA13,ctx test zone,,
G03FA05,methylnortestosterone and estrogen,,
H05AA,parathyroid hormones and analogues,,
G04BD05,terodiline,50,O
V03AB35,sugammadex,,
B03AB02,saccharated iron oxide,0.11,O
N05HH20,mixes,,
V09IA03,technetium (99mtc) pentavalent succimer,,
S03CA06,betamethasone and antiinfectives,,
P03BX05,dimethylcarbate,,
H05BX01,cinacalcet,60,O
C03EC21,spironolactone and hydrochlorothiazide,,
C01CE03,enoximone,1,P
A07XA51,"albumin tannate, combinations",,
L01AB01,busulfan,,
C05CX05,benzarone,,
G04BE08,tadalafil,10,O
J07AN01,"tuberculosis, live attenuated",,
N02CB01,flumedroxone,20,O
C03CA01,furosemide,40,O
N05AB04,prochlorperazine,0.1,R
M01AB08,etodolac,0.4,O
C09BA27,benazepril and hydrochlorothiazide,,
M01AB16,aceclofenac,0.2,O
A07DA03,loperamide,10,O
M01AX12,glucosaminoglycan polysulfate,50,P
N05AA04,acepromazine,0.1,O
J01EC01,sulfamethoxazole,2,O
G04BA01,ammonium chloride,8.5,O
V09DX01,selenium (75se) tauroselcholic acid,,
R01AC08,olopatadine,,
A01AB12,hexetidine,,
R06AE09,levocetirizine,5,O
A12CD52,"sodium monofluorophosphate, combinations",20,O
M02AC54,"monoethanolamine salicylate, combinations",,
R06AA10,trimethobenzamide,,
N01BB51,"bupivacaine, combinations",,
A08AH01,madar,,
N02CH01,butterbur,,
G03AC02,lynestrenol,,
D03AP57,"echinacea herb, combinations",,
B03AD05,ammonium iron (ii) sulfate,"0,1",O
M01AH05,etoricoxib,60,O
L01DB02,daunorubicin,,
J01GA02,streptoduocin,1,P
S01CB03,hydrocortisone,,
S01EB05,physostigmine,0.4,
M05BX03,strontium ranelate,2,O
B03BA03,hydroxocobalamin,20,P
L01XC28,durvalumab,,
P03BX01,diethyltoluamide,,
L03AB14,cepeginterferon alfa-2b,17,P
J07X,other vaccines,,
A04AD13,casopitant,,
J01DD14,ceftibuten,0.4,O
G04BE,drugs used in erectile dysfunction,,
A10BH01,sitagliptin,0.1,O
V90K,release of pharmaceuticals,,
D03AH20,mixes,,
D11AC06,povidone-iodine,,
C,cardiovascular system,,
G03XB,progesterone receptor modulators,,
A01AB10,natamycin,20,O
N05CA06,secobarbital,0.1,O
V06DB,"fat/carbohydrates/proteins/minerals/vitamins, combinations",,
C08CA02,felodipine,5,O
J01ED07,sulfamerazine,3,O
D09AC02,dressings with aluminium chloride hydroxide complex,,
V10AX02,samarium (153sm) hydroxyapatite colloid,,
L01XC04,alemtuzumab,13,P
G03AA04,megestrol and ethinylestradiol,,
C08D,selective calcium channel blockers with direct cardiac effects,,
P01BF02,artesunate and mefloquine,,
N,nervous system,,
P03BX06,etohexadiol,,
C01CA55,"norfenefrin, combinations",,
A02AD06,simaldrate,5,O
N04BC04,ropinirole,6,O
R03D,other systemic drugs for obstructive airway diseases,,
P02BA,quinoline derivatives and related substances,,
M05BZ,,,
M01CB04,aurothioglucose,2.4,P
R05XC01,enzyme-containing combinations,,
C01AP03,squill,,
N05AA03,promazine,0.1,P
G02AC01,methylergometrine and oxytocin,,
A07EA51,"prednisolone, combinations",,
M01CB01,sodium aurothiomalate,2.4,P
R05CA03,guaifenesin,0.9,O
M02BP51,"spruce needleol, combinations",,
A11CC04,calcitriol,1,P
A07AB03,sulfaguanidine,4,O
C05AX,other agents for treatment of hemorrhoids and anal fissures for topical use,,
C03BX03,cicletanine,,
S01BC02,oxyphenbutazone,,
M01AE51,"ibuprofen, combinations",,
D03AA51,"cod liver oil, combinations",,
R03DA04,theophylline,0.4,O
C02AA57,"bietaserpine, combinations",,
S01XA30,"organ preparations, incl. combinations",,
N05CB01,combinations of barbiturates,,
R03DA,xanthines,,
L01XC26,inotuzumab ozogamicin,,
J06BB05,rabies immunoglobulin,,
P03BX04,dibutylsuccinate,,
N05CE03,pyrithyldione,0.2,O
A03AA30,piperidolate,,
B05CB03,magnesium citrate,,
R05CP51,"thyme herb, combinations",,
N05AF04,tiotixene,30,O
V09HB,indium (111in) compounds,,
R03BC03,nedocromil,8,Inhal
C10AB,fibrates,,
B03AB11,potassium-iron(iii)phosphate-citrate complex,,
J01DF01,aztreonam,0.225,Inhal
A06AB59,"bisoxatin, combinations",,
A03DA05,camylofin and analgesics,,
V03AB13,obidoxime,,
A09AX,other digestiva,,
D07XB30,combinations of corticosteroids,,
L03AC,interleukins,,
C04AA31,bamethan,75,O
A05AP06,lowen tooth root with -kraut,,
D11AX16,eflornithine,,
A11EC,vitamin b-complex with minerals,,
C10AA02,lovastatin,45,O
N02AJ08,codeine and ibuprofen,,
M09AP03,devil's claw root,"4,5",O
N07BA04,cytisine,,
C05BA01,organo-heparinoid,,
D08AC54,"hexamidine, combinations",,
D06,antibiotics and chemotherapeutics for dermatological use,,
L02AA01,diethylstilbestrol,3,O
C01CA32,pholedrin,,
S01BC10,nepafenac,,
J01CE,beta-lactamase sensitive penicillins,,
L01DB03,epirubicin,,
C05AA64,"fluprednides, combinations",,
S01EX,other antiglaucoma preparations,,
N07XX11,pitolisant,18,O
R06AD02,promethazine,25,O
J05AB09,famciclovir,0.75,O
D01AE07,chlorphenesin,,
C09DA23,valsartan and hydrochlorothiazide,,
D02AA03,polysiloxane,,
L04AB02,infliximab,3.75,P
N05CX02,"methaqualone, combinations",,
J05AR01,zidovudine and lamivudine,,
G04CX01,prunus africanae cortex,,
N01BB54,"prilocaine, combinations",,
L03AA17,pegteograstim,0.3,P
V04CZ01,senna fruit extract,,
V10XX04,lutetium (177lu) oxodotreotide,,
C09BA26,quinapril and hydrochlorothiazide,,
N02CA71,"dihydroergotamine, combinations with psycholeptics",,
R06AX03,thenalidine,,
P02CX02,bephenium,,
L04AA34,alemtuzumab,0.13,P
A10BX13,,,
J05AE13,faldaprevir,,
V09IX10,fluoroethyl-l-tyrosine (18f),,
S01XC56,"hydroxyethylcellulose, combinations","0,4",TD
N06AG03,toloxatone,,
V06DC,carbohydrates,,
N06AF04,tranylcypromine,10,O
R05CB,mucolytics,,
D03AX27,mineral oil raffinate,,
N02AG03,pethidine and antispasmodics,,
A09AA01,diastase,,
R05CA12,hederae helicis folium,,
A14AA10,chlordehyde methyl testosterone,,
B01AC25,cangrelor,50,P
A10AD30,combinations,40,P
M03BA,carbamic acid esters,,
L01BA03,raltitrexed,,
G03CC07,conjugated estrogens and bazedoxifene,,
N07CA02,cinnarizine,90,O
C01AA06,lanatoside c,1,R
R03AC08,pirbuterol,1.2,Inhal
L03AA13,pegfilgrastim,0.3,P
D08AK03,mercuric chloride,,
D04AA82,"diphenhydramine, combinations",,
B02BC57,"collagen, combinations",,
H01BA,vasopressin and analogues,,
N01BB20,combinations,,
D11AH05,dupilumab,,
C09DB04,telmisartan and amlodipine,,
C07CA02,oxprenolol and other diuretics,,
V10XA02,iobenguane (131i),,
G03C,estrogens,,
D11AF01,salicylic acid,"0,25",T
V04CX28,treponema pallidum test zone,,
R03DC53,"montelukast, combinations",,
A12BA03,potassium hydrogentartrate,7.5,O
A07D,antipropulsives,,
S01LA03,pegaptanib,,
R03CC11,tulobuterol,4,O
NO2CX99,,,
A04AB,antihistamines,,
C03BC01,mersalyl,,
J01MB02,nalidixic acid,4,O
A02BD06,"esomeprazole, amoxicillin and clarithromycin",,
D07CA03,prednisolone and antibiotics,,
A10BB,sulfonylureas,,
G01AE01,sulfatolamide,,
G01AA09,mepartricin,,
L01XE05,sorafenib,,
B01AB63,"certoparin, combinations",,
N02AB52,"pethidine, combinations excl. psycholeptics",,
N03AB05,fosphenytoin,0.45,P
C05AX05,tribenoside,,
V04CN04,cocaine test zone,,
C10AC,bile acid sequestrants,,
R02AA84,"benzoxonium, combinations",,
B02B,vitamin k and other hemostatics,,
V04CH30,aminohippuric acid,,
B03AD06,ferric glycine sulphate,"0,1",O
D03AP52,"marigold bleeding, combinations",,
C07FB13,metoprolol and amlodipine,,
N05BA23,tofisopam,,
G01B,antiinfectives/antiseptics in combination with corticosteroids,,
N03AX03,sultiame,0.4,O
P03AX02,copper oleinate,,
S01AA21,amikacin,,
P01AA04,chlorquinaldol,,
A07AA51,"neomycin, combinations",,
V08CB03,"iron oxide, nanoparticles",,
R07AX30,ivacaftor and lumacaftor,,
M01CX,other specific antirheumatic agents,,
C02LE01,prazosin and diuretics,,
V04CX31,triglyceride test zone,,
C01CA21,cafedrine,,
C07FX02,sotalol and acetylsalicylic acid,,
M04AB03,benzbromarone,0.1,O
D08AH,quinoline derivatives,,
A10AE,"insulins and analogues for injection, long-acting",,
M03BA57,"meprobamate, combinations excl. psycholeptics",,
N05CM,other hypnotics and sedatives,,
G04BP,herbal urology,,
G03G,gonadotropins and other ovulation stimulants,,
H05BA03,calcitonin (human synthetic),100,P
A10BD12,pioglitazone and sitagliptin,,
G04CB01,finasteride,5,O
S01BC,"antiinflammatory agents, non-steroids",,
N05AL07,levosulpiride,0.4,O
R05DP07,cowslip leaves,,
V08AA06,ioglicic acid,,
V04CK03,bentiromide,,
C05B,antivaricose therapy,,
C01BB03,tocainide,1.2,O
S01BC07,bendazac,,
V03AC,iron chelating agents,,
V04CN09,tetrahydrocannabinol test zone,,
C10AB12,etofylline clofibrate,,
V06DE,"amino acids/carbohydrates/minerals/vitamins, combinations",,
A16AB06,sacrosidase,68,O
C10,lipid modifying agents,,
A11HA02,pyridoxine (vit b6),0.16,O
N06AX04,nomifensine,0.15,O
A09AP01,haronga bark and leaves,,
N05CM04,carbromal,1,O
D08AX03,propanol,,
D11AX02,gamolenic acid,0.4,O
S01BA09,clobetasone,,
J07BH,rota virus diarrhea vaccines,,
R03DC03,montelukast,10,O
L01DC01,bleomycin,,
D03AX20,other wound dressings,,
C09CA04,irbesartan,0.15,O
A11E,"vitamin b-complex, incl. combinations",,
N06AA07,lofepramine,0.105,O
D10AX04,aluminium oxide,,
S02BA07,betamethasone,,
S01BX01,"hydrocortisone, combinations",,
H01CC02,cetrorelix,0.25,P
N06BX11,aniracetam,,
C03BA10,xipamide,20,O
C05Z,,,
C01CA14,dopexamine,0.5,P
N02AC05,bezitramide,15,O
C07AB03,atenolol,75,O
A16AA01,levocarnitine,2,O
C10AD52,"nicotinic acid, combinations",,
N07BB04,naltrexone,50,O
A12AA31,calcium thiosulphate,,
A03PP01,poppy seed capsule,,
P01AA,hydroxyquinoline derivatives,,
J01XX07,nitroxoline,1,O
G02AD06,misoprostol,0.2,V
D09AA09,povidone-iodine,,
P03AA01,dixanthogen,,
R07AX,other respiratory system products,,
J05AR08,"emtricitabine, tenofovir disoproxil and rilpivirine",,
R03C,adrenergics for systemic use,,
B01AX01,defibrotide,1.75,P
A07BC03,crospovidone,,
S01KA51,"hyaluronic acid, combinations",,
D11AF55,"fluorouracil, combinations",,
L01XX50,ixazomib,,
V03AE04,calcium acetate and magnesium carbonate,,
J01DF02,carumonam,2,P
N02AX05,meptazinol,1.2,O
J01XX03,clofoctol,1.5,R
S01AX25,hydroxymethyl quinolinium methyl salicylate,,
B05AX03,blood plasma,,
R06AE55,"meclozine, combinations",,
J04AD02,tiocarlide,7,O
A06AX04,linaclotide,0.29,O
A14AA05,oxymetholone,0.25,O
A03AB09,isopropamide,10,O
B05ZA50,mixes,,
N01AH01,fentanyl,,
L01AX02,pipobroman,,
J01CR22,amoxicillin and clavulanic acid,"1,75",O
B05CA06,mandelic acid,,
J01E,sulfonamides and trimethoprim,,
G02CH10,various,,
D02,emollients and protectives,,
M02AX06,tolperisone,,
A01AE01,lidocaine,,
B02BD07,coagulation factor xiii,,
S03CA04,hydrocortisone and antiinfectives,,
N05AX10,mosapramine,,
L01XX01,amsacrine,,
D07AC14,methylprednisolone aceponate,,
A07BC08,humic acids,,
J01RA13,norfloxacin and tinidazole,,
A03DC,other antispasmodics in combination with analgesics,,
V09F,thyroid,,
A03CA03,oxyphencyclimine and psycholeptics,,
M09AX07,nusinersen,,
L04AA23,natalizumab,10,P
L01XE11,pazopanib,,
V08AA,"watersoluble, nephrotropic, high osmolar x-ray contrast media",,
N07XX59,"dextromethorphan, combinations",40,O
G02CC04,flunoxaprofen,,
J01XD,imidazole derivatives,,
G02CD05,cod liver oil,,
V04CX08,cholesterol test zone,,
G01AX26,monalazone,,
G03AD02,ulipristal,30,O
C10AB03,aluminium clofibrate,,
J01GB06,amikacin,1,P
D02AX05,sulphur-containing agents,,
D01AC06,tiabendazole,,
D09AA66,"sulfadiazine-silver, combinations",,
C02AC01,clonidine,0.45,O
B01AC03,picotamide,,
S01CA06,fludrocortisone and antiinfectives,,
G04BX26,hyaluronic acid,,
D01AC14,sertaconazole,,
D08AJ04,cetrimide,,
M03B,"muscle relaxants, centrally acting agents",,
J05AX,other antivirals,,
J05AA01,metisazone,,
N03AX17,stiripentol,1,O
V03AH,drugs for treatment of hypoglycemia,,
G01BA,antibiotics and corticosteroids,,
N01AX07,etomidate,,
R03CB01,isoprenaline,40,O
A06AB02,bisacodyl,10,O
D06AX10,virginiamycin,,
G04CZ,,,
C03AA04,chlorothiazide,0.5,O
A12CC09,magnesium orotate,,
V04CA01,tolbutamide,,
P03AA54,"disulfiram, combinations",,
C02CA07,bunazosin,6,O
D03AX06,becaplermin,,
N05BA24,bentazepam,75,O
A05AX,other drugs for bile therapy,,
S01CA03,hydrocortisone and antiinfectives,,
C01DA08,isosorbide dinitrate,60,O
R01BA57,pseudoephedrine and ibuprofen,,
J01DD12,cefoperazone,4,P
V08AD,non-watersoluble x-ray contrast media,,
J01EB01,sulfaisodimidine,4,O
L02AA02,polyestradiol phosphate,6,P
N05BA08,bromazepam,10,O
N04AA02,biperiden,10,O
J01MA03,pefloxacin,0.8,O
V03AB23,acetylcysteine,,
S01BA13,rimexolone,,
A05BA10,choline,,
R02AX01,flurbiprofen,44,O
J05AF01,zidovudine,0.6,O
J07BD54,"measles, combinations with mumps, rubella and varicella, live attenuated",,
A07FA51,"lactic acid producing organisms, combinations",,
S01XC01,polyvinyl alcohol,"0,4",TD
D07XC,"corticosteroids, potent, other combinations",,
C05CP54,"mouse thorn rhizome, combinations",,
V09AX03,iodine (124i) 2beta-carbomethoxy-3beta-(4 iodophenyl)-tropane,,
D07AC10,diflorasone,,
A12AA07,calcium chloride,0.2,P
A02AG01,"antacids, combinations with butinoline",,
C10AX02,probucol,,
L01CH,other homeopathic and anthroposophical remedies,,
